Team,Charm Name,Repository,Branch (if not the default),Source
MLOps,kubeflow-volumes,https://github.com/canonical/kubeflow-volumes-operator,,manual
MLOps,metacontroller,https://github.com/canonical/metacontroller-operator,,manual
MLOps,minio,https://github.com/canonical/minio-operator,,manual
MLOps,mlflow,https://github.com/canonical/mlflow-operator,,manual
MLOps,mlmd,https://github.com/canonical/mlmd-operator,,manual
MLOps,namespace-node-affinity,https://github.com/canonical/namespace-node-affinity-operator,,manual
MLOps,notebook,https://github.com/canonical/notebook-operators,,manual
MLOps,OIDC-gatekeeper,https://github.com/canonical/oidc-gatekeeper-operator,,manual
MLOps,pvcviewer,https://github.com/canonical/pvcviewer-operator,,manual
MLOps,training,https://github.com/canonical/training-operator,,manual
Observability,Alertmanager,https://github.com/canonical/alertmanager-k8s-operator,,manual
Observability,Avalanche,https://github.com/canonical/avalanche-k8s-operator,,manual
Observability,Blackbox Exporter,https://github.com/canonical/blackbox-exporter-k8s-operator,,manual
Observability,Catalogue,https://github.com/canonical/catalogue-k8s-operator,,manual
Observability,COS Configuration,https://github.com/canonical/cos-configuration-k8s-operator,,manual
Observability,COS Proxy,https://github.com/canonical/cos-proxy-operator,,manual
Observability,Grafana,https://github.com/canonical/grafana-k8s-operator,,manual
Observability,Grafana Agent K8s,https://github.com/canonical/grafana-agent-k8s-operator,,manual
Observability,Grafana Agent Subordinate,https://github.com/canonical/grafana-agent-operator,,manual
Observability,Grafana Cloud Integrator,https://github.com/canonical/grafana-cloud-integrator,,manual
Observability,Loki,https://github.com/canonical/loki-k8s-operator,,manual
Observability,Prometheus,https://github.com/canonical/prometheus-k8s-operator,,manual
Observability,Prometheus PushGateway,https://github.com/canonical/prometheus-pushgateway-k8s-operator,,manual
Observability,Prometheus Scrape Config,https://github.com/canonical/prometheus-scrape-config-k8s-operator,,manual
Observability,Prometheus Scrape Target,https://github.com/canonical/prometheus-scrape-target-k8s-operator,,manual
Observability,Traefik,https://github.com/canonical/traefik-k8s-operator,,manual
OpenStack,multiple charms (mono-repo),https://opendev.org/openstack/sunbeam-charms,,manual
Telco,Manual TLS Certificates,https://github.com/canonical/manual-tls-certificates-operator,,manual
Telco,Self Signed Certificates,https://github.com/canonical/self-signed-certificates-operator,,manual
Telco,TLS Certificates Requirer,https://github.com/canonical/tls-certificates-requirer-operator,,manual
